Method,AP,BLESS,Battig,ESSLI_1a,ESSLI_2b,ESSLI_2c,MEN,MTurk,RG65,RW,SimLex999,TR9856,WS353,WS353R,WS353S,Google,SemEval2012_2
glove_1_simple,0.681592039800995,0.865,0.438348308162875,0.704545454545455,0.75,0.622222222222222,0.766485040186479,0.642481523107369,0.774486131096416,0.387216182760781,0.433980991771313,0.573839408544663,0.606607216342579,0.557151005586599,0.692747772736307,0.602742529676627,0.183681669914419
glove_2_simple,0.654228855721393,0.77,0.452112406805582,0.840909090909091,0.8,0.6,0.764718494598706,0.633696508833387,0.782485169502074,0.421225781011091,0.393326704022928,0.582699566951646,0.620901461694826,0.539677488579108,0.729684693905593,0.541137945149406,0.167889098432748
glove_3_simple,0.674129353233831,0.77,0.432039762951634,0.840909090909091,0.75,0.577777777777778,0.753464855494735,0.641681200945974,0.776671660715448,0.417919423144165,0.376029190414744,0.583668404639187,0.612380690283086,0.546264718302506,0.703885429915637,0.529830126893164,0.166420311829669
glove_1_path,0.639303482587065,0.79,0.448671382144905,0.659090909090909,0.85,0.622222222222222,0.763729869595726,0.640360275945056,0.772103903811671,0.353322538486749,0.431543709420732,0.568294883563707,0.599778317850073,0.543036975738041,0.684911726439487,0.615892345476873,0.172926558023757
glove_2_path,0.624378109452736,0.785,0.449244886255018,0.863636363636364,0.75,0.6,0.764397592657403,0.634485154870638,0.78493296267539,0.38874728146539,0.399249045747871,0.579383291173029,0.616460505468744,0.527857862056503,0.729885516001271,0.569637740483013,0.174045229099529
glove_3_path,0.619402985074627,0.755,0.430319250621296,0.840909090909091,0.75,0.622222222222222,0.754766737968354,0.645266024886785,0.777567727859251,0.393370455453529,0.381879073679083,0.579327698180557,0.603910800524338,0.527456842192937,0.703925275569541,0.554390094146541,0.159634005637644
glove_1_lch,0.634328358208955,0.795,0.422481361116421,0.75,0.825,0.6,0.744644187102901,0.648442184482576,0.747363708524227,0.387958049415005,0.407066404907065,0.570030327327906,0.603639961954137,0.553734102709131,0.680013898661571,0.698526401964797,0.161332112793904
glove_2_lch,0.614427860696517,0.78,0.411584783024278,0.727272727272727,0.75,0.577777777777778,0.742868286985935,0.646613855738991,0.776649805419258,0.381489462587279,0.388110411018742,0.583665475900197,0.612942955623581,0.543867945865986,0.704657638688302,0.683636921817438,0.155601741494932
glove_3_lch,0.592039800995025,0.68,0.407952590326897,0.727272727272727,0.75,0.488888888888889,0.738828069762319,0.645155355536208,0.7733933662869,0.384678114756723,0.365963855660509,0.586290696823004,0.616489233189802,0.555440996357052,0.703503708551234,0.678878428162096,0.147129863925945
glove_1_jcn,0.619402985074627,0.815,0.428025234180845,0.75,0.825,0.622222222222222,0.738698243799292,0.639734080330669,0.761198111012701,0.4008372084394,0.415392243118983,0.562241993527738,0.58811422470652,0.541113326625573,0.652058984795392,0.701135898485469,0.16064527707162
glove_2_jcn,0.629353233830846,0.84,0.43452494742879,0.727272727272727,0.75,0.6,0.731973780401224,0.644941631698627,0.758313211915578,0.389170624339854,0.402509393622195,0.555493505128887,0.599091565718324,0.537061290179504,0.677740305649791,0.69325624232501,0.155430764257107
glove_3_jcn,0.626865671641791,0.77,0.397438348308163,0.704545454545455,0.7,0.533333333333333,0.731161266752807,0.644589317344039,0.764957221957436,0.392402867009886,0.390470233830585,0.554493541285551,0.604557653043505,0.549700759752819,0.678016037574809,0.686502251330332,0.158659009341768
glove_1_lin,0.634328358208955,0.795,0.402982221372587,0.75,0.825,0.666666666666667,0.739329063784576,0.645789419842952,0.76183191460222,0.39944740534851,0.412198642486066,0.561520518679421,0.592179516433199,0.541139586527848,0.658593672035697,0.703233729021695,0.162372665908595
glove_2_lin,0.626865671641791,0.785,0.424775377556873,0.727272727272727,0.7,0.577777777777778,0.731463770393794,0.644953561651556,0.757985382472724,0.388924043071305,0.394519133169552,0.557467671837278,0.589752502799107,0.514364723117684,0.680981351138367,0.691311911584118,0.16245854412707
glove_3_lin,0.601990049751244,0.74,0.409099598547123,0.727272727272727,0.85,0.533333333333333,0.727855643229028,0.641621805010114,0.76456382662601,0.390919692513226,0.385803854804473,0.554564080167802,0.589516775887977,0.526617415486293,0.674266561542414,0.684302087597217,0.159319279193211
glove_1_wup,0.674129353233831,0.85,0.432230930988339,0.704545454545455,0.75,0.622222222222222,0.763973249624674,0.64112734653552,0.773305945102139,0.353677000120652,0.428588353375545,0.568515946888229,0.600374258463587,0.544156804791018,0.687424393374692,0.612822349570201,0.173103485041669
glove_2_wup,0.654228855721393,0.84,0.439495316383101,0.863636363636364,0.75,0.6,0.764280503329447,0.633245455081152,0.786069438077286,0.390880485557104,0.395783768014706,0.578271597217357,0.616593131780964,0.529592350855968,0.728935595612192,0.566772410970119,0.171051610281618
glove_3_wup,0.654228855721393,0.86,0.439686484419805,0.840909090909091,0.75,0.577777777777778,0.755027371933785,0.643031062428466,0.776168988903071,0.394329491210807,0.380643133347231,0.579403242040421,0.602781162692938,0.527704753473743,0.702506770290548,0.552548096602538,0.16194465388309
